sintomas,enfermedad
Los síntomas incluyen dolor en el brazo izquierdo y fatiga inusual.,Infarto
Experimenta dolor en la mandíbula y sudoración excesiva de forma recurrente.,Infarto
"Se queja de falta de aire, sudoración excesiva, náuseas y dolor en el pecho.",Infarto
"Sufre de sudoración excesiva, opresión torácica, náuseas, falta de aire y mareos.",Infarto
"El cuadro clínico incluye ansiedad repentina, dolor en el brazo izquierdo y falta de aire.",Infarto
"Se queja de náuseas, fatiga inusual, dolor en el pecho, mareos y dolor en la mandíbula.",Infarto
"Reporta tener náuseas, falta de aire y ansiedad repentina.",Infarto
"Los síntomas incluyen dolor en el pecho, dolor en el brazo izquierdo y opresión torácica.",Infarto
"Sufre de dolor en el brazo izquierdo, mareos y palpitaciones.",Infarto
"mareos, fatiga inusual y dolor en la mandíbula, y además presenta otros signos.",Infarto
"Sufre de ansiedad repentina, dolor en el pecho, fatiga inusual, dolor en el brazo izquierdo y dolor en la mandíbula.",Infarto
"Sufre de opresión torácica, náuseas y sudoración excesiva.",Infarto
Tiene síntomas como falta de aire y mareos.,Infarto
"mareos, palpitaciones, opresión torácica y sudoración excesiva, y además presenta otros signos.",Infarto
"Experimenta sudoración excesiva, dolor en el pecho y dolor en la mandíbula de forma recurrente.",Infarto
"Se queja de dolor en el pecho, dolor en la mandíbula, mareos y dolor en el brazo izquierdo.",Infarto
Sufre de mareos y falta de aire.,Infarto
El cuadro clínico incluye mareos y opresión torácica.,Infarto
Se queja de dolor en el brazo izquierdo y sudoración excesiva.,Infarto
"Los síntomas incluyen palpitaciones, opresión torácica, falta de aire y ansiedad repentina.",Infarto
Experimenta dolor en el brazo izquierdo y ansiedad repentina de forma recurrente.,Infarto
"El paciente presenta fatiga inusual, ansiedad repentina y opresión torácica.",Infarto
Muestra signos de dolor en la mandíbula y palpitaciones.,Infarto
"El cuadro clínico incluye sudoración excesiva, ansiedad repentina y dolor en el pecho.",Infarto
"El paciente presenta náuseas, opresión torácica y dolor en el pecho.",Infarto
"sudoración excesiva, palpitaciones, mareos, dolor en la mandíbula y opresión torácica, y además presenta otros signos.",Infarto
"Reporta tener dolor en el brazo izquierdo, palpitaciones, náuseas y fatiga inusual.",Infarto
"Sufre de fatiga inusual, falta de aire, ansiedad repentina y dolor en el pecho.",Infarto
Sufre de náuseas y fatiga inusual.,Infarto
"Reporta tener falta de aire, sudoración excesiva y fatiga inusual.",Infarto
"náuseas, dolor en el pecho y mareos, y además presenta otros signos.",Infarto
"Se queja de sudoración excesiva, falta de aire y dolor en el brazo izquierdo.",Infarto
"Tiene síntomas como fatiga inusual, falta de aire, dolor en el brazo izquierdo y ansiedad repentina.",Infarto
Muestra signos de dolor en la mandíbula y náuseas.,Infarto
"El cuadro clínico incluye dolor en el pecho, ansiedad repentina, falta de aire y náuseas.",Infarto
Se queja de dolor en el pecho y opresión torácica.,Infarto
El cuadro clínico incluye náuseas y mareos.,Infarto
"náuseas, opresión torácica y dolor en el pecho, y además presenta otros signos.",Infarto
"Muestra signos de sudoración excesiva, dolor en el pecho, dolor en la mandíbula, ansiedad repentina y fatiga inusual.",Infarto
"Muestra signos de sudoración excesiva, mareos y palpitaciones.",Infarto
"Sufre de dolor en la mandíbula, sudoración excesiva, mareos, fatiga inusual y opresión torácica.",Infarto
Sufre de náuseas y fatiga inusual.,Infarto
"Reporta tener palpitaciones, mareos, opresión torácica y ansiedad repentina.",Infarto
El paciente presenta mareos y palpitaciones.,Infarto
"Sufre de mareos, opresión torácica, sudoración excesiva, dolor en la mandíbula y náuseas.",Infarto
"Reporta tener sudoración excesiva, mareos y náuseas.",Infarto
"Muestra signos de dolor en el pecho, palpitaciones, falta de aire y dolor en el brazo izquierdo.",Infarto
"Sufre de fatiga inusual, palpitaciones y mareos.",Infarto
"Experimenta sudoración excesiva, fatiga inusual, dolor en el brazo izquierdo y náuseas de forma recurrente.",Infarto
Reporta tener dolor en el brazo izquierdo y dolor en el pecho.,Infarto
"Reporta tener náuseas, dolor en el brazo izquierdo y falta de aire.",Infarto
Sufre de sudoración excesiva y dolor en el brazo izquierdo.,Infarto
"El cuadro clínico incluye palpitaciones, opresión torácica, fatiga inusual y dolor en la mandíbula.",Infarto
"Experimenta sudoración excesiva, dolor en el pecho, dolor en la mandíbula y mareos de forma recurrente.",Infarto
"náuseas, opresión torácica, falta de aire y dolor en el brazo izquierdo, y además presenta otros signos.",Infarto
"Se queja de dolor en el pecho, ansiedad repentina y dolor en el brazo izquierdo.",Infarto
"Reporta tener dolor en la mandíbula, ansiedad repentina, náuseas, falta de aire y sudoración excesiva.",Infarto
"Sufre de dolor en el pecho, palpitaciones, mareos y fatiga inusual.",Infarto
Los síntomas incluyen dolor en la mandíbula y dolor en el brazo izquierdo.,Infarto
"Los síntomas incluyen dolor en el brazo izquierdo, fatiga inusual, dolor en la mandíbula, ansiedad repentina y palpitaciones.",Infarto
Reporta tener mareos y náuseas.,Infarto
"Tiene síntomas como fatiga inusual, mareos, falta de aire, náuseas y dolor en el pecho.",Infarto
Sufre de mareos y palpitaciones.,Infarto
"opresión torácica, mareos, ansiedad repentina y falta de aire, y además presenta otros signos.",Infarto
"dolor en el brazo izquierdo y dolor en el pecho, y además presenta otros signos.",Infarto
Reporta tener fatiga inusual y ansiedad repentina.,Infarto
"Tiene síntomas como dolor en el brazo izquierdo, opresión torácica, sudoración excesiva y dolor en el pecho.",Infarto
"palpitaciones, falta de aire y náuseas, y además presenta otros signos.",Infarto
"Los síntomas incluyen falta de aire, dolor en el pecho y palpitaciones.",Infarto
"Experimenta ansiedad repentina, palpitaciones y fatiga inusual de forma recurrente.",Infarto
"Reporta tener fatiga inusual, sudoración excesiva y ansiedad repentina.",Infarto
"Muestra signos de dolor en el pecho, dolor en el brazo izquierdo y opresión torácica.",Infarto
"Los síntomas incluyen opresión torácica, sudoración excesiva, mareos y náuseas.",Infarto
"Tiene síntomas como náuseas, fatiga inusual, dolor en la mandíbula, opresión torácica y sudoración excesiva.",Infarto
Tiene síntomas como opresión torácica y palpitaciones.,Infarto
"Reporta tener náuseas, dolor en el brazo izquierdo, ansiedad repentina, fatiga inusual y mareos.",Infarto
"El cuadro clínico incluye palpitaciones, dolor en la mandíbula, náuseas y mareos.",Infarto
"Reporta tener dolor en el pecho, fatiga inusual, sudoración excesiva, opresión torácica y mareos.",Infarto
"Experimenta opresión torácica, ansiedad repentina y náuseas de forma recurrente.",Infarto
"Se queja de palpitaciones, mareos, náuseas y fatiga inusual.",Infarto
"Se queja de dolor en el pecho, fatiga inusual y ansiedad repentina.",Infarto
"El paciente presenta fatiga inusual, mareos, opresión torácica y dolor en el pecho.",Infarto
"Reporta tener fatiga inusual, dolor en el pecho, ansiedad repentina y dolor en el brazo izquierdo.",Infarto
"Reporta tener falta de aire, opresión torácica, sudoración excesiva, ansiedad repentina y palpitaciones.",Infarto
"Sufre de náuseas, mareos, sudoración excesiva y fatiga inusual.",Infarto
"El paciente presenta mareos, opresión torácica y ansiedad repentina.",Infarto
"fatiga inusual, dolor en la mandíbula, opresión torácica y mareos, y además presenta otros signos.",Infarto
"Reporta tener náuseas, dolor en la mandíbula y opresión torácica.",Infarto
"Sufre de mareos, falta de aire, dolor en la mandíbula, palpitaciones y fatiga inusual.",Infarto
"El paciente presenta dolor en la mandíbula, sudoración excesiva y dolor en el brazo izquierdo.",Infarto
"Sufre de falta de aire, mareos, palpitaciones, dolor en la mandíbula y opresión torácica.",Infarto
"mareos y dolor en el pecho, y además presenta otros signos.",Infarto
Experimenta dolor en el pecho y ansiedad repentina de forma recurrente.,Infarto
Se queja de dolor en el brazo izquierdo y fatiga inusual.,Infarto
"Muestra signos de palpitaciones, náuseas, dolor en la mandíbula y dolor en el brazo izquierdo.",Infarto
Se queja de ronquera y tos persistente.,Cáncer de pulmón
Sufre de fatiga y dolor de huesos.,Cáncer de pulmón
Experimenta sangre en el esputo y fatiga de forma recurrente.,Cáncer de pulmón
El cuadro clínico incluye dolor de huesos y ronquera.,Cáncer de pulmón
"Los síntomas incluyen ronquera, sangre en el esputo, fatiga, tos persistente y pérdida de peso.",Cáncer de pulmón
"Muestra signos de pérdida de peso, sangre en el esputo, tos persistente, dolor en el pecho al toser y fatiga.",Cáncer de pulmón
"Muestra signos de infecciones respiratorias frecuentes, dolor en el pecho al toser, pérdida de peso, sangre en el esputo y tos persistente.",Cáncer de pulmón
"Sufre de pérdida de peso, fatiga y tos persistente.",Cáncer de pulmón
"Experimenta sangre en el esputo, fatiga, ronquera y dificultad respiratoria de forma recurrente.",Cáncer de pulmón
Muestra signos de ronquera y dificultad respiratoria.,Cáncer de pulmón
El cuadro clínico incluye ronquera y fatiga.,Cáncer de pulmón
"Sufre de tos persistente, dolor en el pecho al toser, sangre en el esputo y infecciones respiratorias frecuentes.",Cáncer de pulmón
"Reporta tener ronquera, fatiga, infecciones respiratorias frecuentes y dolor de huesos.",Cáncer de pulmón
"El cuadro clínico incluye fatiga, dolor de cabeza y sangre en el esputo.",Cáncer de pulmón
"Los síntomas incluyen pérdida de peso, dificultad respiratoria, tos persistente y sangre en el esputo.",Cáncer de pulmón
Los síntomas incluyen sangre en el esputo y tos persistente.,Cáncer de pulmón
"El paciente presenta ronquera, fatiga, sangre en el esputo y tos persistente.",Cáncer de pulmón
Experimenta sangre en el esputo y dolor de huesos de forma recurrente.,Cáncer de pulmón
Los síntomas incluyen pérdida de peso y dolor de huesos.,Cáncer de pulmón
"Muestra signos de dolor de cabeza, ronquera y tos persistente.",Cáncer de pulmón
"El paciente presenta dolor de cabeza, dolor en el pecho al toser, dolor de huesos, fatiga y dificultad respiratoria.",Cáncer de pulmón
"Sufre de fatiga, dificultad respiratoria, pérdida de peso, dolor en el pecho al toser y sangre en el esputo.",Cáncer de pulmón
"pérdida de peso, infecciones respiratorias frecuentes, dificultad respiratoria y dolor de cabeza, y además presenta otros signos.",Cáncer de pulmón
"Muestra signos de dolor de cabeza, dolor en el pecho al toser, sangre en el esputo, ronquera y pérdida de peso.",Cáncer de pulmón
"Se queja de sangre en el esputo, fatiga y dificultad respiratoria.",Cáncer de pulmón
El paciente presenta pérdida de peso y dolor de huesos.,Cáncer de pulmón
"Se queja de dolor de huesos, infecciones respiratorias frecuentes, fatiga y ronquera.",Cáncer de pulmón
"Tiene síntomas como dificultad respiratoria, tos persistente y sangre en el esputo.",Cáncer de pulmón
"El cuadro clínico incluye tos persistente, dolor de cabeza y dolor de huesos.",Cáncer de pulmón
"El cuadro clínico incluye pérdida de peso, sangre en el esputo y tos persistente.",Cáncer de pulmón
"ronquera, tos persistente, sangre en el esputo, infecciones respiratorias frecuentes y dolor en el pecho al toser, y además presenta otros signos.",Cáncer de pulmón
"Los síntomas incluyen infecciones respiratorias frecuentes, dolor en el pecho al toser, ronquera y fatiga.",Cáncer de pulmón
"Reporta tener dolor en el pecho al toser, dolor de cabeza, dolor de huesos y sangre en el esputo.",Cáncer de pulmón
"Tiene síntomas como fatiga, dolor en el pecho al toser y tos persistente.",Cáncer de pulmón
Sufre de pérdida de peso y infecciones respiratorias frecuentes.,Cáncer de pulmón
"Tiene síntomas como dificultad respiratoria, dolor de huesos, dolor de cabeza, dolor en el pecho al toser y sangre en el esputo.",Cáncer de pulmón
"Experimenta dificultad respiratoria, sangre en el esputo y infecciones respiratorias frecuentes de forma recurrente.",Cáncer de pulmón
Sufre de sangre en el esputo y dolor de huesos.,Cáncer de pulmón
Reporta tener ronquera y pérdida de peso.,Cáncer de pulmón
"Sufre de dificultad respiratoria, pérdida de peso, fatiga, dolor de cabeza y sangre en el esputo.",Cáncer de pulmón
"Sufre de dificultad respiratoria, tos persistente y sangre en el esputo.",Cáncer de pulmón
"Los síntomas incluyen fatiga, dolor de cabeza, sangre en el esputo y pérdida de peso.",Cáncer de pulmón
"Sufre de pérdida de peso, tos persistente y fatiga.",Cáncer de pulmón
"Tiene síntomas como tos persistente, dificultad respiratoria, infecciones respiratorias frecuentes, fatiga y sangre en el esputo.",Cáncer de pulmón
"Sufre de dolor en el pecho al toser, dolor de cabeza, ronquera y tos persistente.",Cáncer de pulmón
"Muestra signos de dolor de cabeza, pérdida de peso, sangre en el esputo y dolor en el pecho al toser.",Cáncer de pulmón
"dolor en el pecho al toser, dolor de huesos y infecciones respiratorias frecuentes, y además presenta otros signos.",Cáncer de pulmón
"Sufre de dolor en el pecho al toser, dificultad respiratoria, dolor de huesos, pérdida de peso y dolor de cabeza.",Cáncer de pulmón
Sufre de sangre en el esputo y dificultad respiratoria.,Cáncer de pulmón
"El cuadro clínico incluye dolor de cabeza, infecciones respiratorias frecuentes, ronquera y pérdida de peso.",Cáncer de pulmón
El cuadro clínico incluye tos persistente y infecciones respiratorias frecuentes.,Cáncer de pulmón
"Experimenta ronquera, tos persistente y infecciones respiratorias frecuentes de forma recurrente.",Cáncer de pulmón
"Los síntomas incluyen sangre en el esputo, ronquera y dolor de cabeza.",Cáncer de pulmón
"Tiene síntomas como dolor de huesos, fatiga, ronquera y dolor en el pecho al toser.",Cáncer de pulmón
"Reporta tener dolor de cabeza, pérdida de peso, ronquera, dolor de huesos y fatiga.",Cáncer de pulmón
Experimenta fatiga y infecciones respiratorias frecuentes de forma recurrente.,Cáncer de pulmón
"Experimenta dolor en el pecho al toser, infecciones respiratorias frecuentes, fatiga y dolor de huesos de forma recurrente.",Cáncer de pulmón
"tos persistente y dolor de cabeza, y además presenta otros signos.",Cáncer de pulmón
"El cuadro clínico incluye tos persistente, dificultad respiratoria y fatiga.",Cáncer de pulmón
"pérdida de peso, dolor de cabeza, sangre en el esputo, dificultad respiratoria y dolor en el pecho al toser, y además presenta otros signos.",Cáncer de pulmón
"Sufre de dolor en el pecho al toser, dolor de huesos y fatiga.",Cáncer de pulmón
"Experimenta dolor en el pecho al toser, infecciones respiratorias frecuentes, ronquera y dolor de cabeza de forma recurrente.",Cáncer de pulmón
"Se queja de fatiga, dolor de cabeza y pérdida de peso.",Cáncer de pulmón
Sufre de dolor en el pecho al toser y fatiga.,Cáncer de pulmón
"El cuadro clínico incluye dolor de huesos, infecciones respiratorias frecuentes, fatiga y dolor en el pecho al toser.",Cáncer de pulmón
"Sufre de dolor de huesos, dificultad respiratoria, pérdida de peso, sangre en el esputo y dolor de cabeza.",Cáncer de pulmón
"Los síntomas incluyen pérdida de peso, infecciones respiratorias frecuentes y dificultad respiratoria.",Cáncer de pulmón
"El cuadro clínico incluye dolor de huesos, infecciones respiratorias frecuentes, sangre en el esputo, pérdida de peso y dificultad respiratoria.",Cáncer de pulmón
El cuadro clínico incluye dolor de cabeza y sangre en el esputo.,Cáncer de pulmón
Reporta tener pérdida de peso y dificultad respiratoria.,Cáncer de pulmón
"dolor en el pecho al toser, pérdida de peso, dolor de cabeza, infecciones respiratorias frecuentes y ronquera, y además presenta otros signos.",Cáncer de pulmón
Muestra signos de dificultad respiratoria y sangre en el esputo.,Cáncer de pulmón
"El paciente presenta sangre en el esputo, ronquera, tos persistente, dolor de cabeza y dificultad respiratoria.",Cáncer de pulmón
"Los síntomas incluyen fatiga, dificultad respiratoria, dolor de huesos y pérdida de peso.",Cáncer de pulmón
"El cuadro clínico incluye sangre en el esputo, dolor de cabeza, dificultad respiratoria, pérdida de peso y dolor de huesos.",Cáncer de pulmón
"Se queja de dificultad respiratoria, fatiga, sangre en el esputo y infecciones respiratorias frecuentes.",Cáncer de pulmón
Tiene síntomas como sangre en el esputo y dolor de cabeza.,Cáncer de pulmón
"El paciente presenta sangre en el esputo, dificultad respiratoria, infecciones respiratorias frecuentes y dolor de cabeza.",Cáncer de pulmón
"El cuadro clínico incluye dolor de huesos, sangre en el esputo, dolor en el pecho al toser y ronquera.",Cáncer de pulmón
"dolor en el pecho al toser, dolor de huesos, tos persistente y pérdida de peso, y además presenta otros signos.",Cáncer de pulmón
"Los síntomas incluyen fatiga, ronquera y dolor en el pecho al toser.",Cáncer de pulmón
Se queja de fatiga y pérdida de peso.,Cáncer de pulmón
"Experimenta infecciones respiratorias frecuentes, pérdida de peso, ronquera, dificultad respiratoria y tos persistente de forma recurrente.",Cáncer de pulmón
Tiene síntomas como dolor en el pecho al toser y sangre en el esputo.,Cáncer de pulmón
"El paciente presenta dolor de cabeza, dificultad respiratoria y sangre en el esputo.",Cáncer de pulmón
Sufre de tos persistente y pérdida de peso.,Cáncer de pulmón
Muestra signos de tos persistente y pérdida de peso.,Cáncer de pulmón
El cuadro clínico incluye dificultad respiratoria y dolor en el pecho al toser.,Cáncer de pulmón
"ronquera, dolor en el pecho al toser y fatiga, y además presenta otros signos.",Cáncer de pulmón
Tiene síntomas como tos persistente y infecciones respiratorias frecuentes.,Cáncer de pulmón
"Los síntomas incluyen dolor en el pecho al toser, dolor de cabeza, sangre en el esputo, pérdida de peso y ronquera.",Cáncer de pulmón
"El paciente presenta sangre en el esputo, dolor en el pecho al toser, ronquera, tos persistente y pérdida de peso.",Cáncer de pulmón
Los síntomas incluyen dolor en el pecho al toser y fatiga.,Cáncer de pulmón
"Los síntomas incluyen dolor de cabeza, dolor en el pecho al toser, dificultad respiratoria, tos persistente y fatiga.",Cáncer de pulmón
"Muestra signos de pérdida de peso, ronquera, dolor de huesos, dificultad respiratoria y tos persistente.",Cáncer de pulmón
"Se queja de tos persistente, dolor de huesos, ronquera, sangre en el esputo y dificultad respiratoria.",Cáncer de pulmón
Muestra signos de dolor de huesos y dolor de cabeza.,Cáncer de pulmón
Los síntomas incluyen dolor de cabeza y dolor en el pecho al toser.,Cáncer de pulmón
"El cuadro clínico incluye infecciones respiratorias frecuentes, dificultad respiratoria, fatiga y sangre en el esputo.",Cáncer de pulmón
Tiene síntomas como dolor de huesos y sangre en el esputo.,Cáncer de pulmón
"Los síntomas incluyen fatiga, dificultad respiratoria, tos persistente, sangre en el esputo y pérdida de peso.",Cáncer de pulmón
"Se queja de infecciones respiratorias frecuentes, dolor de huesos, dolor en el pecho al toser, sangre en el esputo y pérdida de peso.",Cáncer de pulmón
Experimenta dificultad respiratoria y ronquera de forma recurrente.,Cáncer de pulmón
"Los síntomas incluyen tos persistente, dificultad respiratoria, sangre en el esputo y dolor de cabeza.",Cáncer de pulmón
"El cuadro clínico incluye dolor de cabeza, tos persistente, dolor en el pecho al toser y infecciones respiratorias frecuentes.",Cáncer de pulmón
"Sufre de tos persistente, dolor de cabeza y dolor de huesos.",Cáncer de pulmón
"Se queja de dolor de cabeza, dolor de huesos, sangre en el esputo, ronquera y fatiga.",Cáncer de pulmón
"pérdida de peso y tos persistente, y además presenta otros signos.",Cáncer de pulmón
"Experimenta infecciones respiratorias frecuentes, pérdida de peso, dolor de huesos y sangre en el esputo de forma recurrente.",Cáncer de pulmón
"El cuadro clínico incluye pérdida de peso, dolor en el pecho al toser, dolor de huesos, dificultad respiratoria y infecciones respiratorias frecuentes.",Cáncer de pulmón
"El cuadro clínico incluye dolor de cabeza, tos persistente, sangre en el esputo, dificultad respiratoria y ronquera.",Cáncer de pulmón
"Los síntomas incluyen pérdida de peso, fatiga y dolor de cabeza.",Cáncer de pulmón
"Tiene síntomas como fatiga, tos persistente, dolor en el pecho al toser, pérdida de peso y dificultad respiratoria.",Cáncer de pulmón
"Experimenta dolor en el pecho al toser, dolor de cabeza, dolor de huesos, sangre en el esputo y ronquera de forma recurrente.",Cáncer de pulmón
Sufre de dolor en el pecho al toser y fatiga.,Cáncer de pulmón
Se queja de dificultad respiratoria y dolor de cabeza.,Cáncer de pulmón
"Experimenta infecciones respiratorias frecuentes, fatiga, ronquera, pérdida de peso y dificultad respiratoria de forma recurrente.",Cáncer de pulmón
"Muestra signos de tos persistente, fatiga y pérdida de peso.",Cáncer de pulmón
"dolor de huesos, dolor de cabeza, tos persistente, ronquera y dificultad respiratoria, y además presenta otros signos.",Cáncer de pulmón
"dolor en el pecho al toser y dolor de cabeza, y además presenta otros signos.",Cáncer de pulmón
"fatiga, dificultad respiratoria y tos persistente, y además presenta otros signos.",Cáncer de pulmón
Se queja de infecciones respiratorias frecuentes y ronquera.,Cáncer de pulmón
"Experimenta dolor en el pecho al toser, dolor de cabeza y ronquera de forma recurrente.",Cáncer de pulmón
"Se queja de tos persistente, dolor de huesos, dificultad respiratoria y ronquera.",Cáncer de pulmón
"Los síntomas incluyen tos persistente, dolor de cabeza, ronquera, dolor de huesos y fatiga.",Cáncer de pulmón
Se queja de tos persistente y sangre en el esputo.,Cáncer de pulmón
"Experimenta dolor en el pecho al toser, fatiga y dificultad respiratoria de forma recurrente.",Cáncer de pulmón
"Sufre de dificultad respiratoria, dolor de cabeza, dolor en el pecho al toser y pérdida de peso.",Cáncer de pulmón
"El cuadro clínico incluye dificultad respiratoria, sangre en el esputo y dolor en el pecho al toser.",Cáncer de pulmón
"El paciente presenta dificultad respiratoria, pérdida de peso y ronquera.",Cáncer de pulmón
"infecciones respiratorias frecuentes, dolor de cabeza, sangre en el esputo y pérdida de peso, y además presenta otros signos.",Cáncer de pulmón
Muestra signos de sangre en el esputo y tos persistente.,Cáncer de pulmón
"pérdida de peso, sangre en el esputo y fatiga, y además presenta otros signos.",Cáncer de pulmón
Reporta tener infecciones respiratorias frecuentes y dolor de cabeza.,Cáncer de pulmón
"Experimenta pérdida de peso, ronquera, tos persistente, fatiga y infecciones respiratorias frecuentes de forma recurrente.",Cáncer de pulmón
"Experimenta dolor de huesos, dolor de cabeza y dificultad respiratoria de forma recurrente.",Cáncer de pulmón
"El cuadro clínico incluye pérdida de peso, dolor de huesos, fatiga y sangre en el esputo.",Cáncer de pulmón
"Se queja de dolor de huesos, dolor de cabeza, dificultad respiratoria, ronquera y tos persistente.",Cáncer de pulmón
"Reporta tener ronquera, infecciones respiratorias frecuentes y dificultad respiratoria.",Cáncer de pulmón
"Se queja de tos persistente, dolor de huesos y sangre en el esputo.",Cáncer de pulmón
"El cuadro clínico incluye sangre en el esputo, pérdida de peso, dolor de cabeza, dificultad respiratoria y fatiga.",Cáncer de pulmón
El paciente presenta dolor en el pecho al toser y infecciones respiratorias frecuentes.,Cáncer de pulmón
"Los síntomas incluyen sangre en el esputo, dificultad respiratoria y dolor en el pecho al toser.",Cáncer de pulmón
"Muestra signos de infecciones respiratorias frecuentes, pérdida de peso, dolor en el pecho al toser y dolor de huesos.",Cáncer de pulmón
"El paciente presenta ronquera, pérdida de peso, tos persistente y dolor de cabeza.",Cáncer de pulmón
"Sufre de sangre en el esputo, pérdida de peso, dificultad respiratoria, infecciones respiratorias frecuentes y ronquera.",Cáncer de pulmón
"Reporta tener dificultad respiratoria, ronquera, tos persistente, dolor de cabeza y dolor de huesos.",Cáncer de pulmón
Muestra signos de dolor en el pecho al toser y sangre en el esputo.,Cáncer de pulmón
"Se queja de dificultad respiratoria, dolor de cabeza, pérdida de peso y tos persistente.",Cáncer de pulmón
"Experimenta infecciones respiratorias frecuentes, fatiga, dificultad respiratoria y dolor de huesos de forma recurrente.",Cáncer de pulmón
"El paciente presenta dificultad respiratoria, dolor en el pecho al toser y pérdida de peso.",Cáncer de pulmón
"Experimenta dolor en el pecho al toser, dolor de huesos y fatiga de forma recurrente.",Cáncer de pulmón
"Los síntomas incluyen dolor de cabeza, dificultad respiratoria, fatiga y ronquera.",Cáncer de pulmón
"El paciente presenta dolor de huesos, dolor en el pecho al toser y dolor de cabeza.",Cáncer de pulmón
Se queja de sangre en el esputo y infecciones respiratorias frecuentes.,Cáncer de pulmón
"El paciente presenta tos persistente, dificultad respiratoria, ronquera, dolor de huesos y infecciones respiratorias frecuentes.",Cáncer de pulmón
"Sufre de sangre en el esputo, fatiga, dolor de huesos y dolor en el pecho al toser.",Cáncer de pulmón
Reporta tener tos persistente y dificultad respiratoria.,Cáncer de pulmón
"dolor de huesos, tos persistente y dificultad respiratoria, y además presenta otros signos.",Cáncer de pulmón
"Se queja de tos persistente, dolor de huesos, dolor en el pecho al toser, dolor de cabeza y sangre en el esputo.",Cáncer de pulmón
"Reporta tener dolor de huesos, pérdida de peso, tos persistente, dolor de cabeza y dificultad respiratoria.",Cáncer de pulmón
"El paciente presenta dificultad respiratoria, dolor de cabeza, infecciones respiratorias frecuentes y sangre en el esputo.",Cáncer de pulmón
"Experimenta dolor en el pecho al toser, ronquera y sangre en el esputo de forma recurrente.",Cáncer de pulmón
"Reporta tener ronquera, dificultad respiratoria y dolor de huesos.",Cáncer de pulmón
"Tiene síntomas como pérdida de peso, infecciones respiratorias frecuentes, tos persistente y dolor de huesos.",Cáncer de pulmón
"Experimenta dolor de cabeza, ronquera, tos persistente y infecciones respiratorias frecuentes de forma recurrente.",Cáncer de pulmón
"El paciente presenta ronquera, dolor en el pecho al toser y dolor de cabeza.",Cáncer de pulmón
"Sufre de dificultad respiratoria, dolor en el pecho al toser, pérdida de peso y ronquera.",Cáncer de pulmón
Reporta tener pérdida de peso y dolor en el pecho al toser.,Cáncer de pulmón
Se queja de fatiga y dificultad respiratoria.,Cáncer de pulmón
"Sufre de dolor de cabeza, dificultad respiratoria, dolor en el pecho al toser, pérdida de peso y infecciones respiratorias frecuentes.",Cáncer de pulmón
"dolor de huesos, infecciones respiratorias frecuentes, fatiga y tos persistente, y además presenta otros signos.",Cáncer de pulmón
Tiene síntomas como infecciones respiratorias frecuentes y dolor de cabeza.,Cáncer de pulmón
"Reporta tener dolor de cabeza, dolor de huesos, tos persistente, dolor en el pecho al toser y ronquera.",Cáncer de pulmón
"Reporta tener tos persistente, pérdida de peso y dolor de cabeza.",Cáncer de pulmón
"Se queja de tos persistente, pérdida de peso, infecciones respiratorias frecuentes y fatiga.",Cáncer de pulmón
Se queja de dificultad respiratoria y infecciones respiratorias frecuentes.,Cáncer de pulmón
El cuadro clínico incluye dolor de huesos y sangre en el esputo.,Cáncer de pulmón
"El cuadro clínico incluye fatiga, dolor en el pecho al toser, sangre en el esputo, dolor de huesos y pérdida de peso.",Cáncer de pulmón
"Muestra signos de dolor de cabeza, dificultad respiratoria, sangre en el esputo y dolor de huesos.",Cáncer de pulmón
"fatiga, dolor en el pecho al toser y sangre en el esputo, y además presenta otros signos.",Cáncer de pulmón
"Se queja de dolor en el pecho al toser, dificultad respiratoria, dolor de huesos y sangre en el esputo.",Cáncer de pulmón
"Muestra signos de pérdida de peso, dolor de cabeza y fatiga.",Cáncer de pulmón
"Se queja de dolor de huesos, infecciones respiratorias frecuentes, dolor de cabeza, ronquera y pérdida de peso.",Cáncer de pulmón
"Muestra signos de pérdida de peso, sangre en el esputo, infecciones respiratorias frecuentes, dolor en el pecho al toser y dolor de huesos.",Cáncer de pulmón
"Experimenta sangre en el esputo, infecciones respiratorias frecuentes y tos persistente de forma recurrente.",Cáncer de pulmón
"Muestra signos de infecciones respiratorias frecuentes, pérdida de peso y dolor de huesos.",Cáncer de pulmón
"El cuadro clínico incluye ronquera, pérdida de peso, dolor de cabeza y fatiga.",Cáncer de pulmón
"Los síntomas incluyen dificultad respiratoria, dolor de cabeza y fatiga.",Cáncer de pulmón
"Tiene síntomas como sangre en el esputo, dificultad respiratoria, tos persistente y dolor de huesos.",Cáncer de pulmón
"Se queja de pérdida de peso, ronquera y infecciones respiratorias frecuentes.",Cáncer de pulmón
Tiene síntomas como pérdida de peso y dolor de cabeza.,Cáncer de pulmón
Muestra signos de dificultad respiratoria y ronquera.,Cáncer de pulmón
"Experimenta dificultad respiratoria, pérdida de peso, fatiga y ronquera de forma recurrente.",Cáncer de pulmón
Experimenta sangre en el esputo y dificultad respiratoria de forma recurrente.,Cáncer de pulmón
"Los síntomas incluyen dolor de huesos, ronquera, fatiga, sangre en el esputo y tos persistente.",Cáncer de pulmón
"Muestra signos de pérdida de peso, ronquera, dolor de cabeza y fatiga.",Cáncer de pulmón
Experimenta tos persistente y dolor de huesos de forma recurrente.,Cáncer de pulmón
